technology,hour,value
WindOffshore,1,0.663232851
WindOffshore,2,0.452347584
WindOffshore,3,0.453962963
WindOffshore,4,0.241376912
WindOffshore,5,0.260758924
WindOffshore,6,0.450299769
WindOffshore,7,0.61817131
WindOffshore,8,0.778114794
WindOffshore,9,0.769374255
WindOffshore,10,0.895764174
WindOffshore,11,1.00768599
WindOffshore,12,0.923006628
WindOffshore,13,0.519523463
WindOffshore,14,0.252645783
WindOffshore,16,0.190223124
WindOffshore,17,0.224466036
WindOffshore,18,0.49861333
WindOffshore,19,0.323611961
WindOffshore,20,0.486265451
WindOffshore,21,0.223901832
WindOffshore,22,0.579178049
WindOffshore,23,0.412118074
WindOffshore,24,0.595556394
WindOffshore,25,0.508475566
WindOffshore,26,0.511889789
WindOffshore,27,0.687930648
WindOffshore,28,0.687504654
WindOffshore,29,0.68648025
WindOffshore,30,0.409248884
WindOffshore,31,0.30379466
WindOffshore,32,0.320495295
WindOffshore,33,0.291377922
WindOffshore,34,0.375190928
WindOffshore,35,0.506834482
WindOffshore,36,0.473777834
WindOffshore,37,0.373685146
WindOffshore,38,0.194409547
WindOffshore,39,0.413013145
WindOffshore,40,0.322970948
WindOffshore,41,0.272175663
WindOffshore,42,0.144254436
WindOffshore,43,0.201835337
WindOffshore,44,0.410529838
WindOffshore,45,0.333293608
WindOffshore,46,0.210471514
WindOffshore,47,0.006467427
WindOffshore,48,0.051628775
WindOffshore,49,0.062232102
WindOffshore,50,0.394379645
WindOffshore,51,0.321952651
WindOffshore,52,0.471321582
WindOffshore,53,0.154218136
WindOffshore,54,0.421663164
WindOffshore,55,0.281715864
WindOffshore,56,0.343136747
WindOffshore,57,0.353961935
WindOffshore,58,0.64508971
WindOffshore,59,0.857567871
WindOffshore,60,0.595335685
WindOffshore,61,0.301207554
WindOffshore,62,0.110941843
WindOffshore,63,0.168066428
WindOffshore,64,0.204248469
WindOffshore,65,0.113774457
WindOffshore,66,0.03945039
WindOffshore,67,0.101281704
WindOffshore,68,0.081498251
WindOffshore,69,0.239603617
WindOffshore,70,0.246715725
WindOffshore,71,0.349539613
WindOffshore,72,0.342266562
WindOffshore,73,0.41808013
WindOffshore,74,0.537814539
WindOffshore,75,0.430654076
WindOffshore,76,0.295157799
WindOffshore,77,0.191411816
WindOffshore,78,0.323196392
WindOffshore,79,0.38465698
WindOffshore,80,0.628388006
WindOffshore,81,0.435464699
WindOffshore,82,0.326123481
WindOffshore,83,0.053486397
WindOffshore,84,0.185948731
WindOffshore,85,0.408466649
WindOffshore,86,0.447264672
WindOffshore,87,0.595223448
WindOffshore,88,0.432506333
WindOffshore,89,0.548842208
WindOffshore,90,0.535244446
WindOffshore,91,0.64958959
WindOffshore,92,0.511914489
WindOffshore,93,0.523059199
WindOffshore,94,0.509450838
WindOffshore,95,0.752527704
WindOffshore,96,0.707042816
WindOffshore,97,0.876047371
WindOffshore,98,0.856333742
WindOffshore,99,1.03
WindOffshore,100,1.026869117
WindOffshore,101,0.754991569
WindOffshore,102,0.609337768
WindOffshore,103,0.561688022
WindOffshore,104,0.687395968
WindOffshore,105,0.701283269
WindOffshore,106,0.559306064
WindOffshore,107,0.549425734
WindOffshore,108,0.375245382
WindOffshore,109,0.505198531
WindOffshore,110,0.580840015
WindOffshore,111,0.779704101
WindOffshore,112,0.581165954
WindOffshore,113,0.503120531
WindOffshore,114,0.45003651
WindOffshore,115,0.483136643
WindOffshore,116,0.55151022
WindOffshore,117,0.65178421
WindOffshore,118,0.601053074
WindOffshore,119,0.595056995
WindOffshore,120,0.400600377
WindOnshore,1,0.447248269
WindOnshore,2,0.356351924
WindOnshore,3,0.654066653
WindOnshore,4,0.760059782
WindOnshore,5,0.789769872
WindOnshore,6,0.386234829
WindOnshore,7,0.134473688
WindOnshore,8,0.088646911
WindOnshore,9,0.34725219
WindOnshore,10,0.407688495
WindOnshore,11,0.382112446
WindOnshore,12,0.093096709
WindOnshore,13,0.126381235
WindOnshore,14,0.107911521
WindOnshore,15,0.255302906
WindOnshore,16,0.248800103
WindOnshore,17,0.334579308
WindOnshore,18,0.203741727
WindOnshore,19,0.118524875
WindOnshore,20,0.2416671
WindOnshore,21,0.247787692
WindOnshore,22,0.257207124
WindOnshore,23,0.074965863
WindOnshore,24,0.139269141
WindOnshore,25,0.233918783
WindOnshore,26,0.226429702
WindOnshore,27,0.109128057
WindOnshore,28,0.042060787
WindOnshore,29,0.336102778
WindOnshore,30,0.600536319
WindOnshore,31,0.637427333
WindOnshore,32,0.285961006
WindOnshore,33,0.249610744
WindOnshore,34,0.335304563
WindOnshore,35,0.430032572
WindOnshore,36,0.266641528
WindOnshore,37,0.161031191
WindOnshore,38,0.072548385
WindOnshore,39,0.176778827
WindOnshore,40,0.135756292
WindOnshore,41,0.21586173
WindOnshore,42,0.152631444
WindOnshore,43,0.238654088
WindOnshore,44,0.177961564
WindOnshore,45,0.123178498
WindOnshore,46,0.048317754
WindOnshore,47,0.018229667
WindOnshore,48,0.095662904
WindOnshore,49,0.284495614
WindOnshore,50,0.576872281
WindOnshore,51,0.496574992
WindOnshore,52,0.262940087
WindOnshore,53,0.041534486
WindOnshore,54,0.044850153
WindOnshore,55,0.072448075
WindOnshore,56,0.162004983
WindOnshore,57,0.153833344
WindOnshore,58,0.104665356
WindOnshore,59,0.052449053
WindOnshore,60,0.133949834
WindOnshore,61,0.262597991
WindOnshore,62,0.416301383
WindOnshore,63,0.255031152
WindOnshore,64,0.17268519
WindOnshore,65,0.096253358
WindOnshore,66,0.151192169
WindOnshore,67,0.112685671
WindOnshore,68,0.133019756
WindOnshore,69,0.316857907
WindOnshore,70,0.298312919
WindOnshore,71,0.222345685
WindOnshore,72,0.013679011
WindOnshore,73,0.020292628
WindOnshore,74,0.132845541
WindOnshore,75,0.271802946
WindOnshore,76,0.319651904
WindOnshore,77,0.295565051
WindOnshore,78,0.239992083
WindOnshore,79,0.18459458
WindOnshore,80,0.111459636
WindOnshore,81,0.089912893
WindOnshore,82,0.207095054
WindOnshore,83,0.214361986
WindOnshore,84,0.311358913
WindOnshore,85,0.365952218
WindOnshore,86,0.349595093
WindOnshore,87,0.266092382
WindOnshore,88,0.148562062
WindOnshore,89,0.140150722
WindOnshore,90,0.099814402
WindOnshore,91,0.079139617
WindOnshore,92,0.083834658
WindOnshore,93,0.141269312
WindOnshore,94,0.188943457
WindOnshore,95,0.144341627
WindOnshore,96,0.062349549
WindOnshore,97,0.155519809
WindOnshore,98,0.136690934
WindOnshore,99,0.115035233
WindOnshore,100,0.004779131
WindOnshore,101,0.000933333
WindOnshore,102,0.040139009
WindOnshore,103,0.275672243
WindOnshore,104,0.517403265
WindOnshore,105,0.683430372
WindOnshore,106,0.713534479
WindOnshore,107,0.487825231
WindOnshore,108,0.333202364
WindOnshore,109,0.166772353
WindOnshore,110,0.219720353
WindOnshore,111,0.353924708
WindOnshore,112,0.252791845
WindOnshore,113,0.33653836
WindOnshore,114,0.141151465
WindOnshore,115,0.196883334
WindOnshore,116,0.130643591
WindOnshore,117,0.385784599
WindOnshore,118,0.657560287
WindOnshore,119,0.783628195
WindOnshore,120,0.792666667
SolarPV,4,0.012154388
SolarPV,5,0.090418236
SolarPV,6,0.172047065
SolarPV,7,0.126414689
SolarPV,8,0.112502582
SolarPV,26,0.095052398
SolarPV,27,0.280871368
SolarPV,28,0.431732793
SolarPV,29,0.480181687
SolarPV,30,0.501217302
SolarPV,31,0.442536784
SolarPV,32,0.390627111
SolarPV,33,0.232075837
SolarPV,34,0.138749519
SolarPV,35,0.014408062
SolarPV,49,0.16089205
SolarPV,50,0.269135354
SolarPV,51,0.423856291
SolarPV,52,0.507294696
SolarPV,53,0.5772401
SolarPV,54,0.546915956
SolarPV,55,0.531091506
SolarPV,56,0.442177318
SolarPV,57,0.38431629
SolarPV,58,0.254616578
SolarPV,59,0.161916441
SolarPV,72,0.006183901
SolarPV,73,0.184928153
SolarPV,74,0.341018967
SolarPV,75,0.465546203
SolarPV,76,0.526016349
SolarPV,77,0.502756482
SolarPV,78,0.48678847
SolarPV,79,0.432425467
SolarPV,80,0.374769241
SolarPV,81,0.296533826
SolarPV,82,0.165219173
SolarPV,83,0.033134362
SolarPV,99,0.154713207
SolarPV,100,0.189095779
SolarPV,101,0.162287803
SolarPV,102,0.101020843
SolarPV,103,0.084771443
SolarPV,104,0.090713384
